Year,Month,Day,Longitude,Latitude,ProfileNumber,Dataset,DO_mean(umol/kg),DO_min(umol/kg),DO_max(umol/kg),Depth_min(m),Depth_max(m)
1980.0,2.0,24.0,142.9833,36.8167,229488.0,WOD_OSD,174.25436625761145,44.877098083496094,265.7770080566406,0.0,1143.0
1980.0,2.0,24.0,143.2,36.98,229501.0,WOD_OSD,171.85252516610282,49.234100341796875,269.2626037597656,0.0,2116.0
1980.0,2.0,24.0,143.2,36.98,361378.0,Hydrobase3,224.08333333333334,93.7,268.9,0.0,2000.0
1980.0,2.0,24.0,143.5667,37.35,229493.0,WOD_OSD,149.93889312744142,47.927001953125,250.9632110595703,0.0,2384.0
1980.0,2.0,24.0,144.15,37.8167,229485.0,WOD_OSD,156.9453604561942,45.31279754638672,233.97088623046875,0.0,2194.0
1980.0,2.0,24.0,144.5,38.1667,229474.0,WOD_OSD,163.64379119873047,47.05560302734375,249.65609741210938,0.0,2168.0
1980.0,2.0,24.0,144.9167,38.0,229455.0,WOD_OSD,158.19021933419364,44.877098083496094,234.40660095214844,0.0,1690.0
1980.0,2.0,24.0,145.0,38.5333,229465.0,WOD_OSD,178.38802664620536,60.1265983581543,241.37779235839844,0.0,1638.0
1980.0,2.0,24.0,145.83,38.0,361379.0,Hydrobase3,262.4125,244.5,271.5,0.0,300.0
1980.0,2.0,24.0,145.8333,38.0,229500.0,WOD_OSD,236.83406720842635,90.18989562988281,278.41229248046875,0.0,654.0
1980.0,2.0,24.0,147.1167,38.0,229483.0,WOD_OSD,181.9358743940081,51.84830093383789,236.58509826660156,0.0,794.0
1980.0,2.0,24.0,147.12,38.0,361380.0,Hydrobase3,231.61666666666667,217.7,236.4,0.0,100.0
1980.0,2.0,24.0,148.3667,38.0,229460.0,WOD_OSD,199.30162811279297,125.91730499267578,227.87109375,0.0,616.0
1980.0,2.0,24.0,148.37,38.0,361381.0,Hydrobase3,219.225,176.3,227.8,0.0,300.0
1980.0,2.0,24.0,171.98,35.3,361382.0,Hydrobase3,232.83,202.7,243.8,0.0,400.0
1980.0,2.0,24.0,171.9833,35.3,229471.0,WOD_OSD,227.2901645236545,196.06500244140625,243.9919891357422,0.0,440.0
1980.0,2.0,24.0,174.8,35.3167,229498.0,WOD_OSD,218.3825191921658,159.46620178222656,235.71368408203125,0.0,696.0
1980.0,2.0,24.0,174.8,35.32,361383.0,Hydrobase3,227.29000000000002,218.6,235.6,0.0,250.0
1980.0,2.0,25.0,141.0,35.0,229538.0,WOD_OSD,153.42864118303572,43.134300231933594,224.82119750976562,0.0,1560.0
1980.0,2.0,25.0,141.0,35.0,361417.0,Hydrobase3,172.6846153846154,43.0,224.8,0.0,1400.0
1980.0,2.0,25.0,141.27,35.18,229536.0,WOD_OSD,150.0052833557129,44.005699157714844,227.43539428710938,0.0,1758.0
1980.0,2.0,25.0,141.27,35.18,361418.0,Hydrobase3,168.28571428571428,43.9,227.4,0.0,1300.0
1980.0,2.0,25.0,141.65,35.57,229527.0,WOD_OSD,163.04516438075476,48.362701416015625,229.17820739746094,0.0,1503.0
1980.0,2.0,25.0,141.65,35.57,361419.0,Hydrobase3,179.27692307692308,48.4,229.0,0.0,1100.0
1980.0,2.0,25.0,142.02,35.93,229521.0,WOD_OSD,180.86675733678481,36.1630973815918,262.72711181640625,0.0,1681.0
1980.0,2.0,25.0,142.02,35.93,361420.0,Hydrobase3,177.9470588235294,36.2,262.4,10.0,1200.0
1980.0,2.0,25.0,142.42,36.32,229511.0,WOD_OSD,181.89022267659504,53.155399322509766,258.3700866699219,0.0,1652.0
1980.0,2.0,25.0,142.42,36.32,361421.0,Hydrobase3,192.33571428571426,53.2,258.1,0.0,1200.0
1980.0,2.0,25.0,142.82,36.65,229509.0,WOD_OSD,179.3216678074428,50.976898193359375,268.3912048339844,0.0,1651.0
1980.0,2.0,25.0,142.82,36.65,361422.0,Hydrobase3,218.72500000000002,54.0,268.1,0.0,1100.0
1980.0,2.0,25.0,144.43,38.5,361423.0,Hydrobase3,185.42105263157896,54.3,250.2,0.0,1200.0
1980.0,2.0,25.0,144.433,38.5,361424.0,Hydrobase3,194.93125,54.3,250.2,0.0,1280.0
1980.0,2.0,25.0,144.4333,38.5,229530.0,WOD_OSD,187.9661039464614,54.462501525878906,250.52749633789062,0.0,1280.0
1980.0,2.0,25.0,144.48,39.48,361425.0,Hydrobase3,187.3764705882353,51.7,274.1,0.0,1300.0
1980.0,2.0,25.0,144.483,39.483,361426.0,Hydrobase3,186.65,50.4,274.1,0.0,1415.0
1980.0,2.0,25.0,144.4833,39.4833,229540.0,WOD_OSD,179.48277058320886,50.54119873046875,274.4909973144531,0.0,1415.0
1980.0,2.0,25.0,144.5,37.6667,229519.0,WOD_OSD,178.7459225654602,51.41259765625,255.75588989257812,0.0,1040.0
1980.0,2.0,25.0,144.5,37.667,361427.0,Hydrobase3,186.96666666666667,52.2,255.4,0.0,834.0
1980.0,2.0,25.0,144.5,37.67,361428.0,Hydrobase3,179.95,51.3,254.5,10.0,1000.0
1980.0,2.0,25.0,177.6,35.32,361431.0,Hydrobase3,233.16666666666666,228.6,236.0,0.0,75.0
1980.0,2.0,26.0,140.97,33.5,229573.0,WOD_OSD,162.8156430721283,56.64099884033203,223.51409912109375,0.0,1813.0
1980.0,2.0,26.0,140.97,33.5,361467.0,Hydrobase3,184.42142857142858,58.0,223.3,0.0,1300.0
1980.0,2.0,26.0,140.98,34.0,229555.0,WOD_OSD,155.82682284186868,60.56229782104492,230.0496063232422,0.0,1394.0
1980.0,2.0,26.0,140.98,34.0,361468.0,Hydrobase3,163.9235294117647,63.6,223.3,0.0,1200.0
1980.0,2.0,26.0,141.0,32.48,229589.0,WOD_OSD,172.94566869735718,55.76959991455078,227.87109375,0.0,1887.0
1980.0,2.0,26.0,141.0,32.48,361469.0,Hydrobase3,191.5142857142857,56.2,227.8,0.0,1400.0
1980.0,2.0,26.0,141.02,33.0,229583.0,WOD_OSD,171.85252816336495,56.64099884033203,224.82119750976562,0.0,1634.0
1980.0,2.0,26.0,141.02,33.0,361470.0,Hydrobase3,175.91428571428574,56.7,222.2,10.0,1200.0
1980.0,2.0,26.0,142.33,39.5,361471.0,Hydrobase3,251.30833333333337,103.1,288.9,0.0,500.0
1980.0,2.0,26.0,142.333,39.5,361472.0,Hydrobase3,241.92857142857142,71.7,289.3,0.0,593.0
1980.0,2.0,26.0,142.3333,39.5,229577.0,WOD_OSD,242.31143951416016,71.89049530029297,289.7405090332031,0.0,593.0
1980.0,2.0,26.0,143.03,39.5,361473.0,Hydrobase3,239.65714285714284,43.5,308.0,0.0,1100.0
1980.0,2.0,26.0,143.033,39.5,361474.0,Hydrobase3,210.66875,42.6,308.0,0.0,1206.0
1980.0,2.0,26.0,143.0333,39.5,229564.0,WOD_OSD,211.01495242118835,42.69860076904297,308.4755859375,0.0,1206.0
1980.0,2.0,26.0,144.0,39.48,361475.0,Hydrobase3,154.24117647058824,47.8,258.0,0.0,1200.0
